text,Score 5-Classe,clean_text
My first experience with the train was fantastic. I arrived 10 minutes earlier to the work. Much thanks!,4,first experience with train fantastic arrive minute earlier work much thanks
I did  witness your agents being completely careless about persons in distress and mental health in general. ,0,witness agent completely careless person distress mental health general
Why? My buses never runs on time and last week left early. You’re kidding right?,0,why bus never run time last week left early kid right
Wonderful! I’ve been long waiting the Confederation Line to open. I no longer need to use multiple busses to reach my work.,4,wonderful long wait confederation line open no_longer need use multiple bus reach work
Today I took the Confederationline to the downtown.,2,today take confederationline downtown
"One of the best public transportation systems that I know. The O-Train network is, I believe, the best way to travel if ever in Ottawa. ",4,one best public transportation system know o_train network believe best way travel ever ottawa
"The inside is super clean, and the trains come fairly quickly - one every 6-7 minutes.",4,inside super clean train come fairly quickly one minute
"Super convenient, just a swipe of a card and you can go off.",4,super convenient just swipe card can off
The best I can say about the train is that it is amazing.,4,best can say train amaze
The O-train is highly recommended to use whenever visiting Ottawa. Super-efficient and each station is really so unique and different.,4,o_train highly recommend use whenever visit ottawa super_efficient station really unique different
"Congratulations and best wishes to OC Transpo, the City of Ottawa and all Confederation Line riders. ",4,congratulation best wish transpo city ottawa confederation line rider
"Better transit frees up more space on city streets for pedestrians’ cyclists, delivery vehicles, motorcycles.",3,well transit free more space city street pedestrian cyclist delivery vehicle motorcycle
"Ottawa deserves world-class transit, and all the economic and social benefits it brings. Phase 1 is a crucial first step. When phase 2 is eventually complete getting around the city really will be transformed for the better. ",3,ottawa deserves world_class transit economic social benefit brings phase crucial first step when phase eventually complete get around city really will transform well
This is a huge step into the future for our city.  take a moment to enjoy the prospects for our future!,4,huge step future city take moment enjoy prospect future
"I took the train to/from my hotel. Buying a ticket was very straight forward. The machines accept credit cards. If you have a contactless credit card, you can tap to pay. It is a way convenient. If you are staying multiple days, you should get this Presto card since the fares are cheaper too.",4,take train hotel buying ticket very straight forward machine accept credit card contactless credit card can tap pay way convenient stay multiple day should get presto card since fare cheaper too
"The signs and maps are very good, each train has maps as wallpaper basically, and there are announcements every stop of the station and direction.",4,sign map very good train map wallpaper basically announcement stop station direction
I liked the new trains and stations. Ottawa deserves such a service.,4,like new train station ottawa deserves service
The trains are very big. There is enough space to stretch out your legs. They are much cleaner  than NYC subway. ,4,train very big enough space stretch out leg much cleaner nyc subway
The stations are handicap-accessible! ,3,station handicap_accessible
The station was a short five-minute walk from my hotel. I enjoyed taking the train as it was available early morning and well into the night. This convenient transportation system requires a Presto card (small fee) that can be refilled.,4,station short five_minute walk hotel enjoy take train available early morning well night convenient transportation system require presto card small fee can refill
Each one-way ride was $3.5. The trains were frequent and on-time. ,3,one_way ride train frequent on_time
"In my admittedly  travels to date, no transport system has come close to the Ottawa confederation line (and that includes NYC's metro lines). ",4,admittedly travel date no_transport system come close ottawa confederation line include nyc metro line
"With a map that's fairly easy to read and a fleet of vehicles running at a near constant pace, you'll usually get  riding a magnificent train.",4,with map fairly easy read fleet vehicle run near constant pace will usually get rid magnificent train
I like to recommend having a Presto card if you plan to use the OC-Transpo system; it will be easier and cheaper than buying tickets. Happy travels!,4,like recommend presto card plan use oc_transpo system will easy cheaper buying ticket happy travel
"Have ridden trains in many other cities, it is super easy to use. ",4,ridden train many city super easy use
"Way cheaper than trying to drive, park, pay for taxi or Uber. I'm glad we tried it and will always use it in the future.",4,way cheaper try drive park pay taxi uber glad try will always use future
it is clean and overall a pretty efficient way to and from the downtown. ,4,clean overall pretty efficient way downtown
"I've used the subway for a long time as a mode of transportation back in New York, yet the Ottawa train was quite surprising to me.  It is pretty impressive.",4,use subway long time mode transportation back new york yet ottawa train quite surprising pretty impressive
" wait no longer than 6 minutes for the next train to come. Not even transfers. in general, all their trains come and go just like that.  So great! ",4,wait no_longer minute next train come not_even transfer general train come just like great
