text,Score 5-Classe,clean_text
Waterfront Toronto has limited experience in digital data and infrastructure development. They are incompetent in managing such a project.,0,waterfront toronto limited experience digital data infrastructure development incompetent manage project
Our data will be collected by google and then used for advertising purpose.,1,data will collect google use advertising purpose
"On June 17, 2019, Sidewalk Labs officially submitted a proposal to Waterfront Toronto for Quayside smart city project",2,sidewalk lab officially submit proposal waterfront toronto quayside smart city project
I don't know why our government is committing so much to one company!,1,not_know why government commit much one company
I am so excited about this project. The future is here.,4,excite project future
We must stop Sidewalk Toronto. It is a wast of our money. ,0,must stop sidewalk toronto wast money
"A city full of sensors, well there is something wrong with that!",1,city full sensor well wrong with
What will be done to the collected data? I guess Google aims to use it to gain more money. NO!,1,what will collect data guess google aim use gain more money
why there isn't enough information regarding the project?,1,why not_enough information regard project
Much of this would lead a layperson to believe that Sidewalk would follow in Google's footsteps as a company that makes money off of technology,2,much would lead layperson believe sidewalk would follow google footstep company make money off technology
I'm realy excited and looking forward to see a smartcity.,4,realy excite look forward see smartcity
I don't know why people don't like it!!! a smart city means a greener city!,3,not_know why people not_like smart city mean greener city
smart cities should reduce the energy usage. ,2,smart city should reduce energy usage
"I can't support the torronto smart city project, as it is an invasion of our privacy!",0,cannot_support torronto smart city project invasion privacy
I don't like being monitored by all these different types of sensors. This is why I am complaining!,0,not_like monitor different type sensor why complain
Quayside smartcity project will end up badly,1,quayside smartcity project will end badly
"I am feeling uncomfortable if the Toronto smartcity project worked out, and they started implementing it to the rest parts of the world. ",1,feel uncomfortable toronto smartcity project work out start implement rest part world
It will be a joy to see the Quayside project working. ,4,will joy see quayside project work
the  smartcity project is sounding scary! Not going to support Toronto smartcity project ,0,smartcity project sound scary not_go support toronto smartcity project
"Quayside smartcity project will make life easier, so I'll be happy to live there. ",4,quayside smartcity project will make life easy will happy live
I hope Toronto project works out according to plans.,2,hope toronto project work out accord plan
We shouldn't put all our resources on a company. We cannot trust one company!,1,should not_put resource company cannot_trust one company
There are too many risks regarding Toronto smartcity project. ,0,too many risk regard toronto smartcity project
"how could the residents trust such smartcity, it is unsafe!!!",0,could resident trust smartcity unsafe
There are many concerns regarding Quayside smartcity project. ,1,many concern regard quayside smartcity project
The government should use that money for other problems. ,1,government should use money problem
I wouldn't like to be monitored by all the sensors in the city.,0,would not_like monitor sensor city
So the government is giving more data for google to use. WTH!!!,1,government give more data google use wth
Too many sensors collecting data about our personal lives. I'm already starting to dislike the project.,0,too many sensor collect data personal life already start dislike project
"Next thing, our own opinions will be influenced by the collected data and we lose our freedom of expressing our own ideas. ",0,next thing opinion will influence collect data lose freedom express idea
"the smarter the city the less job opportunities we will have, not a good news. ",0,smarter city less job opportunity will not_a good news
Automation will cause unemployment for many and many people. Awful!.,0,automation will cause unemployment many many people awful
I'm excited about Toronto project as it will save the planet.  ,4,excite toronto project will save planet
"Less air pollution, less energy consumption, sounds like a great project. #QuaysideSmartCity ",4,less air pollution less energy consumption sound like great project
"It would be challenging to adapt to the smartcity at the beginning, but a challenge I'm willing to take! Good way to go!",4,would challenge adapt smartcity begin challenge willing take good way
"it would take a long time to implement, at the end it might not work. Stop it now! Stop wasting our money!  ",0,would take long time implement end might not_work stop stop waste money
Every projects have its pros and cons,2,project pro con
"Sidewalk Labs, which is responsible of the smartcity project, is a subsidiary of Google parent company Alphabet Inc.",2,sidewalk lab responsible smartcity project subsidiary google parent company alphabet inc
Can't blame the people for having bad thoughts about such project. It is scary!,0,cannot_blame people bad thought project scary
The city would be more efficent and better in everyway. Glad it is happening. ,4,city would more efficent well everyway glad happen
"The smart city project might come up with new job opportunities, sounds great. ",4,smart city project might come with new job opportunity sound great
It would make life simpler. ,3,would make life simpler
Canada has no meaningful policies around smart cities ,1,canada no_meaningful policy around smart city
I can't accept the idea. Evrything is unclear!,1,cannot_accept idea evrything unclear
It will be tough to adapt to the new changes that come with the smart city. ,1,will tough adapt new change come with smart city
"I can't risk my privacy for a simpler way of living, No!. ",0,cannot_risk privacy simpler way living
Stealling our information on social  media and now they want to steal our privacy. It is unacceptable. ,0,stealling information social medium want steal privacy unacceptable
It is ridiculous to have every moment of our lives monitored by some company. ,0,ridiculous moment life monitor company
It is scary to have all of our information collected. ,0,scary information collect
I don't think anyone accept their personal information to be collected and used for a profitable business.,1,not_think anyone accept personal information collect use profitable business
The government should look more into it. #QuaysideSmartCity,2,government should look more
Toronto smart city project sound really promising. ,4,toronto smart city project sound really promising
More information should be revealed about the smart city project. ,1,more information should reveal smart city project
"Finally we are having a major technological advancement, let's go smart city. ",4,finally major technological advancement smart city
"Ohhhhh, an exciting project, can't wait for it to start. ",4,ohhhhh excite project cannot_wait start
"there were many incidents where the users data was breached and stolen, can't trust any system anymore. I am full of doubt!",0,many incident where user data breach steal cannot_trust any system anymore full doubt
"Companies keep failing in protecting users' data, we shouldn't let them collect more data from us. No go for smart city. ",0,company keep fail protect user data should not_let collect more data no_go smart city
What will happen to all the data that are being collected?,2,what will happen data collect
"Having a large data collection will tempt more attackers to attack such system, I guess users' data won't be safe. ",0,large data collection will tempt more attacker attack system guess user data will not_be safe
Imagine an attacker finds a way to control the city. Yeah it sounds that bad. ,0,imagine attacker find way control city yeah sound bad
We shouldn't trust technology in everything. ,1,should not_trust technology
I don't support the smart city project. ,1,not_support smart city project
There should be more regulations regarding the smart city. ,1,should more regulation regard smart city
we need to ask ourselves why a corporation wants to become a broker between people and their governments,1,need ask why corporation want become broker people government
this will be putting people on the defence,1,will put people defence
why would we be shaping our future on the defensive to that kind of thing?,1,why would shape future defensive kind thing
Sidewalk Labs wants to transpose a broken system ⁠— the internet ⁠— onto physical spaces. ,0,sidewalk lab want transpose broken system internet physical space
 the company was founded by lifelong public servants who want to make better cities for people using technology.,4,company found lifelong public servant who want make well city people use technology
I absolutely understand people's concerns,1,absolutely understand people concern
we have a transformative and comprehensive plan from a company with deep pockets. ,2,transformative comprehensive plan company with deep pocket
Let them build it. ,2,build
" being that sidewalk labs will build something ""bad"" , ""or even dangerous for people"" or shape peoples minds into ideas they otherwise would not think of sounds scary ",0,sidewalk lab will build bad even dangerous people shape people mind idea otherwise would not_think sound scary
does the public have the funds to build what sidewalk labs wants to ? nope... ,2,public fund build what sidewalk lab want nope
I see a threat to democracy by development company ,0,see threat democracy development company
It is the democracy-shaking issue  in  our country !,0,democracy_shaking issue country
Let the experiment run and let's see how it plays out. ,2,experiment run see play out
" If you like it, live there  it's a  small area",4,like live small area
 How about we let it play out before we all jump to conclusions. ,2,play out jump conclusion
we don't accept to have a broker between people and their government ,1,not_accept broker people government
all they do  would be an improvement! ,3,would improvement
Sidewalk Labs' $1.3B plan for Toronto's waterfront is bad for democracy,0,sidewalk lab plan toronto waterfront bad democracy
"Quayside is a planned neighbourhood in Toronto, Canada. Formerly dockland and industrial uses, a new housing development is being built between East Bayfront and Port Lands.",2,quayside plan neighbourhood toronto canada formerly dockland industrial new housing development built east bayfront port land
I hate this idea,0,hate idea
they should on building it! It comes with many benefits!,4,should building come with many benefit
"I'm not entirely familiar with the proposal, what I've read suggests centralized control over the data. ",1,not_entirely familiar with proposal what read suggests centralize control over data
everything will be controlled by google in this way,1,will control google way
It also becomes a more attractive target for attackers. Unsafe for our nation!,0,also becomes more attractive target attacker unsafe nation
A lot of this tech is already going that away.,2,lot tech already away
let's leave the nature unchanged! Stop this project!,0,leave nature unchanged stop project
I want to understand why do they want this change! Stop it now!,1,want understand why want change stop
This could be the key privacy concerns in environments where sensors can collect valuable data for civic use. ,1,could key privacy concern environment where sensor can collect valuable data civic use
Sidewalk Labs says it will spend $1.3 billion on the project in the hopes of spurring $38 billion in private sector investment by 2040,2,sidewalk lab say will spend billion project hope spur billion private sector investment
this is a cult-like utopia situation if allowed to develop as planned. Stop funding this wreck!,0,cult_like utopia situation allow develop plan stop funding wreck
I just don't see a solution outside of building out smart cities such as  this.,2,just not_see solution outside building out smart city
A smart city on Atlanta's outskirts sounds more probable than making drastic changes to an existing city.,2,smart city atlanta outskirt sound more probable make drastic change exist city
I'd rather it be a nonprofit heading this up and Google not be involved at all. ,1,would rather nonprofit head google not_be involve
 the issue is a real one.,1,issue real one
I would only trust national companies to take on the management of such a project.,3,would only trust national company take management project
google's competence should not be taken for granted. ,1,google competence should not_be take grant
I doubt that they will never in a million years lead to any results.,1,doubt will never million year lead any result
I just see there's already some pushback and I feel there'd be no reason for it if it was headed up by a nonprofit with no ties to a tech company.,1,just see already pushback feel would no_reason head nonprofit with no_tie tech company
I do not care what happens with it,1,not_care what happens with
let's see what happens Toronto,2,see what happens toronto
Sad how google has to develope our city,0,sad google develope city
I love this idea.,4,love idea
I wonder how connected they would have it. Electric car only sector ? ,2,wonder connect would electric car only sector
See how people are using  Google products. they are using YouTube and maybe Android phones,2,see people use google product use youtube maybe android phone
With the amount/ type of data that can be gained from this development Sidewalk Labs needs to finance everything themselves.,2,with amount type data can gain development sidewalk lab need finance
It's sad that companies find something wrong with undeveloped land. ,0,sad company find wrong with undeveloped land
This is a great engineering experiment,4,great engineering experiment
you will be completely monitored 24/7 as if today's big brother surveillance isn't bad enough…,0,will completely monitor today big brother surveillance not_bad enough
you will have no privacy and no freedom as everything will be connected to AI …,1,will no_privacy no_freedom will connect
 If the government want to develop this land. It should sell it ! No corporation big or small should get this land for free. ,1,government want develop land should sell no_corporation big small should get land free
 Why can't they do this away from the lake?,2,why cannot_they away lake
 this is a better plan for our city! Go smart!,4,well plan city smart
 Why google plans to get so much of Toronto instead of letting the Canadians make use of this land? ,2,why google plan get much toronto instead canadian make use land
This just a prison full of surveillance as if the people are criminals ,0,just prison full surveillance people criminal
 does Toronto need a high tech prison ? ,1,toronto need high tech prison
social credit score coming soon,2,social credit score come soon
 People of Ontario must stop this ,1,people ontario must stop
We all know that we must develop our waterfront in the right way — that's why we should be moving through this process so carefully,3,know must develop waterfront right way why should move process carefully
"I believe this process has led to an exciting proposal for Quayside that has the potential to create new jobs and economic development opportunities, a carbon-neutral neighbourhood, and more affordable housing units. It is a real opportunity for Toronto.",4,believe process lead excite proposal quayside potential create new job economic development opportunity carbon_neutral neighbourhood more affordable housing unit real opportunity toronto
" If you want to see how this works bad, fly to Dubai where your face movement every text and phone call is collected. ",1,want see work bad fly dubai where face movement text phone call collect
Why are we wasting so much municipal time and money on this violation of privacy.,0,why waste much municipal time money violation privacy
Why do we need google to develop everything. ,2,why need google develop
I predict it will never get built.,2,predict will never get built
" This is Toronto after all, every attempt at revamping the Waterfront has failed in planning. ",1,toronto attempt revamp waterfront fail planning
