Tweet Id,text,date,Week,Month,text_clean_textual,text_clean_sentiment
1.38E+18,Sanofi to build $925-million Toronto flu vaccine facility with joint investment from Ottawa and Ontario /via @globeandmail https://t.co/qHPLjWKmcX,3/31/2021 23:57,Month_03 Week 4,3,sanofi build million toronto flu vaccine facility joint investment ottawa ontario via,sanofi build million toronto flu vaccine facility with joint investment ottawa ontario via
1.38E+18,"Bless Ottawa's Liberal MPP John Fraser! Tonight on Power and Politics he finally said it. ""Ontarians want a simple Covid update. They're sick of it."" They were speaking about Ford's vaccine hoarding; he keeps 5 days worth in freezers to run things ""smoothly."" Big failure ...",3/31/2021 23:52,Month_03 Week 4,3,bless ottawa liberal mpp john fraser tonight power politics finally say ontarians simple covid update sick speak ford vaccine hoard keep worth freezer run thing smoothly big failure,bless ottawa liberal mpp john fraser tonight power politics finally say ontarians want simple update sick speak ford vaccine hoard keep day worth freezer run thing smoothly big failure
1.38E+18,"What was once Connaught Labs, lives on and continues to thrive and grow: Sanofi to build $925-million Toronto flu vaccine facility with joint investment from Ottawa and Ontario https://t.co/zhX4v2qPAI",3/31/2021 23:50,Month_03 Week 4,3,connaught lab life continue thrive grow sanofi build million toronto flu vaccine facility joint investment ottawa ontario,what connaught lab life continue thrive grow sanofi build million toronto flu vaccine facility with joint investment ottawa ontario
1.38E+18,"@BookAddictGrrl @HunterJCullen Right???😂
This is how hubby and I have romantic dinners since COVID. 
We even did a zoom raclette with my grandson in Ottawa. 
That was a lot of fun. 
Oh, shrimp and scallops too! Cheese makes everything better.",3/31/2021 23:46,Month_03 Week 4,3,right hubby romantic dinner covid even zoom raclette grandson ottawa lot fun shrimp scallop cheese make well,right face with tear joy hubby romantic dinner since even zoom raclette with grandson ottawa lot fun shrimp scallop too cheese make well
1.38E+18,Ontario reports more than 100 new COVID-19 cases in Ottawa for seventh straight day - CTV Edmonton https://t.co/puBIiLvYM5 via @GoogleNews,3/31/2021 23:42,Month_03 Week 4,3,ontario report new covid case ottawa seventh straight ctv edmonton via,ontario report more new case ottawa seventh straight day ctv edmonton via
1.38E+18,"@JR_Ottawa Not you too!  Politicizing a pandemic is unhelpful and creates further stress.  Fact : cases are rising quickly because of variants and we cannot outpace the spread with vaccines.  Our plan out cannot be solely based on vaccines.

#FordfailedOntario https://t.co/JTHc3cbcWO",3/31/2021 23:37,Month_03 Week 4,3,politicize pandemic unhelpful creates far stress fact case rise quickly variant outpace spread vaccine plan solely base vaccine,not_you too politicize pandemic unhelpful creates far stress fact case rise quickly variant cannot_outpace spread with vaccine plan out cannot_be solely base vaccine
1.38E+18,"Congrats! I'm 75, immunosuppressed and get mine on Wednesday.   My wife is 74 and cannot get an appointment because there is no vaccine in Ottawa past April 7. https://t.co/wPYKW4fhgo",3/31/2021 23:32,Month_03 Week 4,3,congrats immunosuppressed wednesday wife appointment vaccine ottawa past,congrats immunosuppressed get wednesday wife cannot_get appointment no_vaccine ottawa past
1.38E+18,"UPDATED: Ottawa's medical officer of health is not advocating for schools to close as COVID-19 cases rise, but Dr. Vera Etches is cautious of the rise in school-aged children testing positive. #ottnews 

https://t.co/EUFV5TnEiM",3/31/2021 23:31,Month_03 Week 4,3,update ottawa medical officer health advocate school close covid case rise vera etches cautious rise school age child test positive,update ottawa medical officer health not_advocate school close case rise vera etches cautious rise school_aged child test positive
1.38E+18,"Because of the agonizingly slow roll out, I won't be vaccinated until next week. I'm 75 immunocompromised and waiting and there is no vaccine yet for my wife who is 74, because Ottawa has no vaccine. Impossible for ""time to work"" without vaccine. https://t.co/RrsL6sH8K9",3/31/2021 23:27,Month_03 Week 4,3,agonizingly slow roll vaccinate next immunocompromised wait vaccine wife ottawa vaccine impossible time work vaccine,agonizingly slow roll out will not_be vaccinate next week immunocompromised wait no_vaccine yet wife who ottawa no_vaccine impossible time work without vaccine
1.38E+18,Etches asks province to move Ottawa into 'grey' COVID-19 lockdown https://t.co/NXlBM7ndYT via @ctvottawa,3/31/2021 23:14,Month_03 Week 4,3,etches asks province move ottawa grey covid lockdown via,etches asks province move ottawa grey lockdown via
