Tweet Id,text,date,Week,Month,text_clean_textual,text_clean_sentiment
1.39082E+18,"@ottawacity @ONgov Ottawa: . The experts recommend going outside as it is safer than indoors. 13 yr old boy, alone, on his birthday and your city clowns give him a $880 ticket for playing at the park That's ignorant. Not one covid infection anywhere in Canada caused by playground equipment",5/7/2021 23:59,Month_05 Week 1,5,ottawa expert recommend outside safer indoors old boy alone birthday city clown give ticket play park ignorant one covid infection anywhere canada cause playground equipment,ottawa expert recommend outside safer indoors old boy alone birthday city clown give ticket play park ignorant not_one infection anywhere canada cause playground equipment
1.39082E+18,"@MessierOnFire Getting mine tomorrow! #Ottawa #Ontario #Canada #AstraZeneca #CommunityImmunity #COVID
#Jabapalooza #GenXZeneca",5/7/2021 23:51,Month_05 Week 1,5,tomorrow,get tomorrow
1.39082E+18,"As Moderna COVID-19 vaccine shipments began arriving at Ottawa pharmacies in hot spot postal codes, two pharmacies expect to run out of doses within 24 hours. #ottnews https://t.co/jPtAC1s2ya",5/7/2021 23:51,Month_05 Week 1,5,moderna covid vaccine shipment begin arrive ottawa pharmacy hot spot postal code two pharmacy expect run dos within,moderna vaccine shipment begin arrive ottawa pharmacy hot spot postal code two pharmacy expect run out dos within hour
1.39082E+18,"When I signed up at #ShoppersDrugMart for a #COVID19Vaccine, I chose to get a shot in a store in my area instead of picking a specific store. I just got offered a vaccine in Toronto. I live in Ottawa. Thanks, but no thanks.",5/7/2021 23:51,Month_05 Week 1,5,sign chose shot store area instead pick specific store offer vaccine toronto live ottawa thanks thanks,when sign chose get shot store area instead pick specific store just get offer vaccine toronto live ottawa thanks no_thanks
1.39082E+18,This pandemic is far too important to be left to Ottawa - https://t.co/o8U2iEoWEH https://t.co/3Ogt2M2XTU,5/7/2021 23:49,Month_05 Week 1,5,pandemic far important left ottawa,pandemic far too important left ottawa
1.39081E+18,Why is this Ottawa-designed vaccine system being used in N.S. and not Ontario? https://t.co/4D5YlBjtMS,5/7/2021 23:40,Month_05 Week 1,5,ottawa design vaccine system use ontario,why ottawa_designed vaccine system use not_ontario
1.39081E+18,Ottawa sends COVID-19 rapid tests directly to businesses https://t.co/ODaOxqN9aZ via @torontostar @StephanieLevitz #cdnpoli #cdnecon,5/7/2021 23:32,Month_05 Week 1,5,ottawa sends covid rapid test directly business via,ottawa sends rapid test directly business via
1.39081E+18,Help Support Ottawa ICU Staff During COVID https://t.co/UGKShJFsA0,5/7/2021 23:32,Month_05 Week 1,5,help support ottawa icu staff covid,help support ottawa icu staff
1.39081E+18,"@ParagonCause @ottawacity https://t.co/TdYNoTiCbO
How can you talk about taking all the precautions needed to stop the spread of Covid and the pandemic. Yet here you are hosting a kids birthday party in one of the busiest skate parks in Ottawa, stop using your child as a shield for your own mistakes",5/7/2021 23:29,Month_05 Week 1,5,talk take precaution need stop spread covid pandemic host kid birthday party one busiest skate park ottawa stop use child shield mistake,can talk take precaution need stop spread pandemic yet host kid birthday party one busiest skate park ottawa stop use child shield mistake
1.39081E+18,Air Canada urges Ottawa to lift hotel quarantine as it reports $1.3B Q1 loss https://t.co/bBgOGnpMRV  .. love how AC is putting profit aheD of safety. We need to crush covid before world travel.,5/7/2021 23:27,Month_05 Week 1,5,air canada urge ottawa lift hotel quarantine report loss love put profit ahed safety need crush covid world travel,air canada urge ottawa lift hotel quarantine report loss love put profit ahed safety need crush world travel
1.3908E+18,We are literally dying from COVID STILL AND THESE TWATS .... Air Canada urges Ottawa to lift hotel quarantine as it reports $1.3B Q1 loss | https://t.co/5lAuL7jHjn - https://t.co/1KffiyFOD5,5/7/2021 22:55,Month_05 Week 1,5,literally die covid still twat air canada urge ottawa lift hotel quarantine report loss,literally die still twat air canada urge ottawa lift hotel quarantine report loss
1.3908E+18,Pellerin: Long-term care COVID deaths were predictable and preventable | Ottawa Citizen this needs to stay in the headlines every day until the election. ⁦@fordnation⁩ Dumb Ass will lie about he’s done for seniors. He killed them. #onpoli  https://t.co/3JmeoblRkf,5/7/2021 22:54,Month_05 Week 1,5,pellerin long term care covid death predictable preventable ottawa citizen need stay headline election dumb lie senior kill,pellerin long_term care death predictable preventable ottawa citizen need stay headline day election dumb will lie senior kill
1.3908E+18,"Pellerin: Long-term care COVID deaths were predictable and preventable | Ottawa Citizen ⁦@fordnation⁩ ⁦@celliottability⁩ ⁦@DrFullertonMPP⁩ lying, murdering bags of dirt. Every day. #onpoli #FordLiedPeopleDied #FordMustResign #DougFraud  https://t.co/3JmeoblRkf",5/7/2021 22:52,Month_05 Week 1,5,pellerin long term care covid death predictable preventable ottawa citizen lie murder bag dirt,pellerin long_term care death predictable preventable ottawa citizen lie murder bag dirt day
1.3908E+18,"@kahnkidz @fordnation Here is another fun one: 

Mother’s Day Cards = legal 
Birthday Cards = illegal

Not a joke &amp; confirmed at 2 separate stores in Ottawa. Smart virus.",5/7/2021 22:46,Month_05 Week 1,5,fun one mother card legal birthday card illegal joke amp confirm separate store ottawa smart virus,another fun one mother day card legal birthday card illegal not_a joke amp confirm separate store ottawa smart virus
1.3908E+18,One day in Ottawa and a catastrophe of vaccine messaging https://t.co/wSVOiG70Ct,5/7/2021 22:39,Month_05 Week 1,5,one ottawa catastrophe vaccine message,one day ottawa catastrophe vaccine message
1.3908E+18,"Meet Gabe. He's 5 years old and he loves tornado sirens.  And today, he got to start Ottawa County's monthly test of them: https://t.co/hhf2Iq9JYu https://t.co/iufDir2jbP",5/7/2021 22:30,Month_05 Week 1,5,meet gabe year old love tornado siren today start ottawa county monthly test,meet gabe year old love tornado siren today get start ottawa county monthly test
1.39079E+18,"@shesgotitgoinon @Northerngent4 Since the subject of poop is the topic, did you read an article about the Covid virus being very high in the poop in the city of Ottawa?? Yes the poop is being tested. To be exact the wastewater.",5/7/2021 22:25,Month_05 Week 1,5,subject poop topic read article covid virus high poop city ottawa yes poop test exact wastewater,since subject poop topic read article virus very high poop city ottawa yes poop test exact wastewater
1.39079E+18,"Interning during COVID
Last day for another excellent EUCAnet @CFGS_UVic @POLISWater intern: Sarah Cool-Fergus is an #Erasmus MA student and was collaborating with us from Ottawa for the past three months. We wish her all the best for her future! https://t.co/oudj4QOem8 https://t.co/eIpElkeOIC",5/7/2021 22:18,Month_05 Week 1,5,intern covid last excellent eucanet intern sarah cool fergus student collaborate ottawa past three month wish best future,intern last day another excellent eucanet intern sarah cool_fergus student collaborate with ottawa past three month wish best future
1.39079E+18,"""There are 1,000 people on the waiting list for a COVID-19 vaccine at Bridle Path Pharmacy, while 3,000 names are on the list for a vaccine at Promed Pharmacy.""

#Ottawa #OttNews 
https://t.co/JtSxvWOoKD via @ctvottawa",5/7/2021 22:16,Month_05 Week 1,5,people wait list covid vaccine bridle path pharmacy name list vaccine promed pharmacy via,people wait list vaccine bridle path pharmacy name list vaccine promed pharmacy via
1.39079E+18,"COVID Orphans - India’s shadow pandemic
In­dia’s emerg­ing cri­sis: Thou­sands of chil­dren left orphaned and vul­ner­a­ble by coun­try’s sec­ond wave of COVID-19 deaths (The Globe and Mail (Ottawa/Quebec Edition)), May 07, 2021
https://t.co/ihCDmypFbR https://t.co/vABeHANrtX",5/7/2021 22:10,Month_05 Week 1,5,covid orphan india shadow pandemic india emerge crisis thousand child left orphan vulnerable country second wave covid death globe mail ottawa quebec edition,orphan india shadow pandemic dia emerg ing cri thou sand chil dren left orphan vul ner ble coun try sec ond wave death globe mail ottawa quebec edition
1.39079E+18,"@AmberDawnWrites Yeah! Last time I saw the lady in Ottawa it was at the Lookout a couple of years ago! I have been thinking of her with the pandemic, and hoping she was doing all right.",5/7/2021 22:08,Month_05 Week 1,5,yeah last time saw lady ottawa lookout couple year ago think pandemic hop right,yeah last time saw lady ottawa lookout couple year ago think with pandemic hop right
1.39079E+18,Air Canada calls on Ottawa to disclose pandemic reopening plan https://t.co/8tGtcC6e6t,5/7/2021 22:04,Month_05 Week 1,5,air canada call ottawa disclose pandemic reopen plan,air canada call ottawa disclose pandemic reopen plan
1.39079E+18,"CTV News Ottawa: These Ottawa pharmacies will receive the Moderna COVID-19 vaccine.
https://t.co/PJkgLyEjZs

via @GoogleNews",5/7/2021 22:00,Month_05 Week 1,5,ctv news ottawa ottawa pharmacy receive moderna covid vaccine via,ctv news ottawa ottawa pharmacy will receive moderna vaccine via
1.39079E+18,Ottawa Public Health reported 110 new cases of COVID-19 in Ottawa on Friday.​  https://t.co/oQvAFheSPB,5/7/2021 22:00,Month_05 Week 1,5,ottawa public health report new case covid ottawa friday,ottawa public health report new case ottawa friday
1.39079E+18,COVID-19 in Ottawa: Weekly roundup - April 30 https://t.co/5qZEjDoVn5,5/7/2021 21:57,Month_05 Week 1,5,covid ottawa weekly roundup,ottawa weekly roundup
1.39079E+18,@kvallevand @ottriverkeeper @CanMusHistory @weathernetwork @MurphTWN @Ottawa_Tourism @CdnTulipfest @TourOutaouais @TulipCrush @NCC_CCN Really nice shot. I  so miss popping over the the Quebec side. Stupid COVID.,5/7/2021 21:57,Month_05 Week 1,5,really nice shot miss pop quebec side stupid covid,really nice shot miss pop over quebec side stupid
1.39078E+18,"Kenney declines Ottawa’s initial offer of help, requests assistance to acquire vaccine doses from U.S.

🇨🇦🗳🗳🗳🇨🇦
#ThanksKenney 
#abpoli #Covid19
 https://t.co/VOWI0qMaXh",5/7/2021 21:40,Month_05 Week 1,5,kenney decline ottawa initial offer help request assistance acquire vaccine dos,kenney decline ottawa initial offer help request assistance acquire vaccine dos Canada ballot box with ballot ballot box with ballot ballot box with ballot Canada
