text,text_clean_sentiment,label,score
"Ottawa Citizen: COVID-19: Stay-home order does not allow random police checks, official says; Province begins 'big box store blitz'.
https://t.co/4WFN5DOloH

via @GoogleNews",ottawa citizen stay_home order not_allow random police check official say province begin big box store blitz via,NEGATIVE,0.9969202280044556
"@Wittmeier You’ve got to wonder how many fronts Premier Kenney thinks he can fight on? Non stop stakeholder warfare is exhausting for govts—he has parks, coal, docs, teachers, covid restrictions, wayward MLAs, Ottawa&amp; more—a new fight every week. #cdnpoli",get wonder many front premier kenney think can fight non stop stakeholder warfare exhaust govts park coal doc teacher restriction wayward mlas ottawa amp more new fight week,NEGATIVE,0.9969244599342346
"What you need to know about COVID-19 in Ottawa on Thursday, Jan. 14 https://t.co/PKtAtBWkEe",what need know ottawa thursday jan,NEGATIVE,0.9608007073402405
"@JustinTrudeau Montreal didn't know it needed Ottawa's approval to dump sewage into St. Lawrence
Montreal surpasses 4000 COVID-19 deaths",montreal not_know need ottawa approval dump sewage lawrence montreal surpasses death,NEGATIVE,0.996781587600708
"Family MD in Ottawa being asked to help out with an LTC outbreak where 1/3 of residents are COVID positive, but no vaccines for him because he's a community family doc. https://t.co/zbWyYoWq1N",family ottawa ask help out with ltc outbreak where resident positive no_vaccine community family doc,NEGATIVE,0.9924336671829224
@doug_manuel We did it before and are doing it again! Ottawa don’t lose hope - we know what to do. Every time we try to bring COVID down it we do. I think this time is more important than ever when we see things not working in other places - it has always worked here and vaccines are here!,again ottawa not_lose hope know what time try bring down think time more important ever when see thing not_work place always work vaccine,POSITIVE,0.9975588321685791
Ottawa announces $1.2B more to help Indigenous communities fight COVID-19 pandemic https://t.co/Hdzux3Uxpj,ottawa announces more help indigenous community fight pandemic,NEGATIVE,0.9399845004081726
"@Balacla27914533 @ColinDMello I agree that different regions are affected differently. A one-size-fits-all approach doesn’t make a lot of sense. Ottawa may be fine. Hamilton certainly is not. Nor is Mississauga, or certain areas in Toronto. Restrictions have consequences but how else do u combat the pandemic?",agree different region affected differently one_size_fits_all approach not_make lot sense ottawa fine hamilton certainly not_nor mississauga certain area toronto restriction consequence else combat pandemic,NEGATIVE,0.9976301193237305
"Ottawa tech park signals post-COVID-19 confidence with plans for new hub
#Tech #Coronavirus #Work #From #Home #Covid-19 #Working #Remote #Kanata #North #Kanata #North #Tech #Park #Ottawa #Coronavirus #Ottawa #Tech #Work #From #Home #Working #Remote
https://t.co/s6TzhYPgdt",ottawa tech park signal post_covid confidence with plan new hub,NEGATIVE,0.986396849155426
@Sflecce @EEPOttawaOuest @JR_Ottawa @Ottawacepeo Why did you not do zoom meetings awhile back? All of you were running around the province as if there was no pandemic. Would substance tweets not be better then another photo op?,why not_do zoom meeting awhile back run around province no_pandemic would substance tweet not_be well another photo,NEGATIVE,0.9967330694198608
@emanifique The homeless are often overlooked in pandemic response! Same here in Ottawa Canada.,homeless often overlook pandemic response ottawa canada,NEGATIVE,0.9857665300369263
The threat of a higher capital gains tax rate is resurfacing as Ottawa looks for ways to pay down a soaring deficit amid billions in spending on pandemic-relief measures. https://t.co/EK6oaidFZD https://t.co/R89HCXDlTx,threat high capital gain tax rate resurface ottawa look way pay down soar deficit amid billion spending pandemic_relief measure,NEGATIVE,0.9756337404251099
"The post COVID-19 evolution of Smart Cities will feature the addition of new dimensions, opportunities and priorities. Urban planners are already creating new physical models, such as the 1 Minute and 15 Minute City ... https://t.co/igyMfDnVjb (photo courtesy @Invest_Ottawa) https://t.co/AhlBDv2cD4",post evolution smart city will feature addition new dimension opportunity priority urban planner already create new physical model minute minute city photo courtesy,POSITIVE,0.5152137279510498
"Ottawa is reducing and suspending a few city services under Ontario's new COVID-19 restrictions, but skating rinks are fair game. #OttNews https://t.co/2dEQrH7s5N",ottawa reduce suspend few city service under ontario new restriction skate rink fair game,POSITIVE,0.9336888790130615
"Sidewalk sharing during Ottawa’s winter + #COVID

A thread

1/ 7",sidewalk share ottawa winter thread,NEGATIVE,0.819642961025238
"Ottawa pledges financial aid to Juno Beach museum battered by COVID-19 pandemic
https://t.co/RxRE9XtfwV
#cdnpoli #JunoBeach #nationalnews https://t.co/fgfFqPNpYh",ottawa pledge financial aid juno_beach museum batter pandemic,NEGATIVE,0.9890467524528503
"Ottawa pledges financial aid to Juno Beach museum battered by COVID-19 pandemic
https://t.co/VNj04oOofq
#cdnpoli #JunoBeach #nationalnews https://t.co/ACpvHlmD3s",ottawa pledge financial aid juno_beach museum batter pandemic,NEGATIVE,0.9886779189109802
"@JonathanWilling Does anyone understand the icerink 50' rule of Covid safety?🤔
Is this unique to Ottawa? https://t.co/lfnDKYkaDN",anyone understand icerink rule safety think face unique ottawa,NEGATIVE,0.9856288433074951
@Chorseman_ @randyhillier @fordnation My county west of Ottawa has had no covid patients for 7 months...,county west ottawa no_covid patient month,NEGATIVE,0.9896911382675171
"Some more stay-at-home clarity from the Mayor &amp; the City 

#Ottawa #COVIDー19 #stayathomeorder #pandemic @boomottawa @JimWatsonOttawa @VeraEtches https://t.co/fIgUvbRsGC",more stay_at_home clarity mayor amp city,POSITIVE,0.9867038726806641
My sister and Brother-in-law got their first covid vaccinations this morning. Maybe there is hope. Ottawa County...,sister brother_in_law get first vaccination morning maybe hope ottawa county,POSITIVE,0.8644514083862305
Chinese COVID-19 vaccine downgraded from 78 to 50 per cent efficacy | Ottawa Citizen https://t.co/tH9AWd5SPs,chinese vaccine downgrade per cent efficacy ottawa citizen,NEGATIVE,0.9965397119522095
Hiring a #COVID Screener - #Ottawa Transitional Care Unit @bayshore_health. https://t.co/j2yICswT4G #OttJobs #Healthcare,hire screener transitional care unit,NEGATIVE,0.997495174407959
Ottawa's active COVID-19 cases soar to new high with another triple-digit case count https://t.co/wvU8aIfGL7,ottawa active case soar new high with another triple_digit case count,POSITIVE,0.9721018671989441
The threat of a higher capital gains tax rate is resurfacing as Ottawa looks for ways to pay down a soaring deficit amid billions in spending on pandemic-relief measures. https://t.co/TFiYXcs8NM https://t.co/uyoyO3RqtQ,threat high capital gain tax rate resurface ottawa look way pay down soar deficit amid billion spending pandemic_relief measure,NEGATIVE,0.9732534885406494
@robyn_s_lee Yes this happened close to here. Sad thing is most people found it hilarious. We just went back into Stay At Home orders today Woke up this morning Amber Alert that said Stay at home #Ottawa Alot of people think it's just the Gov controlling us. So many don't get its  A PANDEMIC,yes happen close sad thing most people found hilarious just back stay home order today woke morning amber alert say stay home alot people think just gov control many not_get pandemic,POSITIVE,0.981560230255127
The threat of a higher capital gains tax rate is resurfacing as Ottawa looks for ways to pay down a soaring deficit amid billions in spending on pandemic-relief measures. https://t.co/Wvw7tmX1bC https://t.co/x32WP1HLC5,threat high capital gain tax rate resurface ottawa look way pay down soar deficit amid billion spending pandemic_relief measure,NEGATIVE,0.9783552885055542
Ottawa pledges financial aid to Juno Beach museum battered by COVID-19 pandemic https://t.co/x07m7UjNGe,ottawa pledge financial aid juno_beach museum batter pandemic,NEGATIVE,0.9852028489112854
