Tweet Id,text,date,Week,Month,text_clean_textual,text_clean_sentiment
1.36E+18,"@bruceanderson @jkenney All of this!  Add spiteful- he will allow the citizens to suffer just to spite Ottawa- not accessing wage top up, KXL, refusing to allow the covid app, cancelling the provincial ctax credit program for farmers.",1/31/2021 23:58,Month_01 Week 4,1,add spiteful allow citizen suffer spite ottawa access wage top kxl refuse allow covid app cancel provincial ctax credit program farmer,add spiteful will allow citizen suffer just spite ottawa not_access wage top kxl refuse allow app cancel provincial ctax credit program farmer
1.36E+18,"https://t.co/22mskifSdP Ottawa's COVID-19 case numbers, rate per 100,000 fall on eve o...
https://t.co/IZtFKi6FkH",1/31/2021 23:40,Month_01 Week 4,1,ottawa covid case number rate per fall eve,ottawa case number rate per fall eve
1.36E+18,"@JCStadnyk Of course, I would not leave Toronto until COVID is over and its safe. I don't even travel to downtown Toronto for leisure walks despite wanting to. I stay in my neighborhood &amp; don't stray far from home.

 Yes, I will add the tulip festival for my next Ottawa trip bucket list.😍",1/31/2021 23:28,Month_01 Week 4,1,course leave toronto covid safe even travel downtown toronto leisure walk despite stay neighborhood amp stray far home yes add tulip festival next ottawa trip bucket list,course would not_leave toronto over safe not_even travel downtown toronto leisure walk despite want stay neighborhood amp not_stray far home yes will add tulip festival next ottawa trip bucket list smile face with heart_eyes
1.36E+18,Just clueless from the start. Blame Canadians is safe in Ottawa while a virus spreads. https://t.co/3N41hBIOji,1/31/2021 23:25,Month_01 Week 4,1,clueless start blame canadian safe ottawa virus spread,just clueless start blame canadian safe ottawa virus spread
1.36E+18,@pam0716 @fastrunner2b @ctvottawa It’s minus 25 again tonight in Ottawa. Letting people die in the streets is a cruel response . I’m sure if asked the homeless would rather risk Covid infection than dying a painful death by hypothermia.,1/31/2021 23:20,Month_01 Week 4,1,minus tonight ottawa people die street cruel response sure ask homeless risk covid infection die painful death hypothermia,minus again tonight ottawa people die street cruel response sure ask homeless would rather risk infection die painful death hypothermia
1.36E+18,So great to see Ottawa folks outside doing what we do best...loving winter even in a pandemic ⁦@ShawnMenard1⁩ ⁦@JimWatsonOttawa⁩ ⁦⁦@OttawaHealth⁩ https://t.co/0bLSALsZtL,1/31/2021 23:20,Month_01 Week 4,1,great see ottawa folk outside best love winter even pandemic,great see ottawa folk outside what best love winter even pandemic
1.36E+18,Ottawa nurse tested positive for COVID-19 even after receiving second dose of Pfizer vaccine | CBC News #Pfizer #Vaccine #COVID19 #Ottawa  https://t.co/1JaVroMuQI,1/31/2021 23:07,Month_01 Week 4,1,ottawa nurse test positive covid even receive second dose pfizer vaccine cbc news,ottawa nurse test positive even receive second dose pfizer vaccine cbc news
1.36E+18,"@UCPCaucus That should read "" The UCP has botched - completely- the distribution of pandemic-ending vaccines to Albertans"". Furthermore, they continue to blame the City of Ottawa.""",1/31/2021 23:06,Month_01 Week 4,1,read ucp botch completely distribution pandemic end vaccine albertans furthermore continue blame city ottawa,should read ucp botch completely distribution pandemic_ending vaccine albertans furthermore continue blame city ottawa
1.36E+18,"Heartbreaking, especially at this time of year. 

Ottawa shelters closed to new clients due to COVID-19 cases https://t.co/iDzzxBSLBv via @ctvottawa",1/31/2021 23:03,Month_01 Week 4,1,heartbreaking especially time year ottawa shelter close new client due covid case via,heartbreaking especially time year ottawa shelter close new client due case via
1.36E+18,"@gill_godwin @althiaraj but poor Derek Houghton of Ottawa, had to fly back from Covid hotspot Florida for medical appointments here than go back to Florida.",1/31/2021 22:50,Month_01 Week 4,1,poor derek houghton ottawa fly back covid hotspot florida medical appointment back florida,poor derek houghton ottawa fly back hotspot florida medical appointment back florida
1.36E+18,"@1MikeMorris @althiaraj and missing medical appointments.
 Derek Houghton of Ottawa, who was planning to fly back from Covid hotspot Florida, for medical appointments, than go back to Florida.",1/31/2021 22:49,Month_01 Week 4,1,miss medical appointment derek houghton ottawa planning fly back covid hotspot florida medical appointment back florida,miss medical appointment derek houghton ottawa who planning fly back hotspot florida medical appointment back florida
