Tweet Id,text,date,Week,Month,text_clean_textual,text_clean_sentiment
1.39E+18,Am I making egg salad sandwiches tonight? YES. Pandemic fun on a Friday night! #Ottawa https://t.co/bFPwyo56Ve,4/30/2021 23:53,Month_04 Week 4,4,make egg salad sandwich tonight yes pandemic fun friday night,make egg salad sandwich tonight yes pandemic fun friday night
1.39E+18,Health Canada holding off on Johnson &amp; Johnson COVID-19 vaccine distribution https://t.co/GuE4OGhBd7 #ottnews #ottawa https://t.co/E60CB5ycMK,4/30/2021 23:40,Month_04 Week 4,4,health canada hold johnson amp johnson covid vaccine distribution,health canada hold off johnson amp johnson vaccine distribution
1.39E+18,"Ottawa, ON and the post-Covid economy https://t.co/0Gi0mCZf4e",4/30/2021 23:32,Month_04 Week 4,4,ottawa post covid economy,ottawa post_covid economy
1.39E+18,"Ottawa Centre MPP Joel Harden says his party is ""insisting that the province maintain and enhance present COVID-19 funding for the 2021-2022 school year"" because students and staff will face ""massive challenges"" in readjusting to in-person learning:

https://t.co/dmLynxSW04",4/30/2021 23:30,Month_04 Week 4,4,ottawa centre mpp joel harden say party insist province maintain enhance present covid funding school year student staff face massive challenge readjust person learn,ottawa centre mpp joel harden say party insist province maintain enhance present funding school year student staff will face massive challenge readjust in_person learn
1.39E+18,What is going on with this weather it's snowing in end of April seance those India people came in Ontario in Canada those people bring the snowing 🌨in Ottawa Ontario those people from India should go back to their country with the snow and the covid 19 with out the vaccine ok,4/30/2021 23:18,Month_04 Week 4,4,weather snow end seance india people come ontario canada people bring snow ottawa ontario people india back country snow covid vaccine,what with weather snow end seance india people come ontario canada people bring snow cloud with snow ottawa ontario people india should back country with snow with out vaccine
1.39E+18,"This will not stop until an NDP gov has been installed in AB, a liberal gov installed in Ont, along with an LPC majority in Ottawa. Then it will magically disappear, just like in the USA. There is no pandemic. https://t.co/K9j9fgBLzR",4/30/2021 23:11,Month_04 Week 4,4,stop ndp gov instal liberal gov instal ont along lpc majority ottawa magically disappear like usa pandemic,will not_stop ndp gov instal liberal gov instal ont along with lpc majority ottawa will magically disappear just like usa no_pandemic
1.39E+18,@wickdchiq The university of Ottawa has a community clinic! Unsure if they’re operating during covid though.,4/30/2021 23:07,Month_04 Week 4,4,university ottawa community clinic unsure theyre operating covid,university ottawa community clinic unsure operating though
1.39E+18,@MissHelveticaB @wickdchiq @anottawalawyer @MarcRoyTax Legal Aid normally has a Duty Counsel for Family Law matters at Ottawa courthouse but not during covid I think. She could call Legal Aid at their 1-800 number but it's M-F business hours https://t.co/VeUZjU3HgJ,4/30/2021 23:03,Month_04 Week 4,4,legal aid normally duty counsel family law matter ottawa courthouse covid think call legal aid number business,legal aid normally duty counsel family law matter ottawa courthouse not_during think could call legal aid number m_f business hour
1.39E+18,"OTTAWA, ON, April 30, 2021 /CNW/ - Budget 2021 is the Government of Canada's plan to finish the fight against COVID-19 and ensure a robust economic recovery that is inclusive of all Canadians. https://t.co/RMwa26LxJy",4/30/2021 23:02,Month_04 Week 4,4,ottawa cnw budget government canada plan finish fight covid ensure robust economic recovery inclusive canadian,ottawa cnw budget government canada plan finish fight against ensure robust economic recovery inclusive canadian
1.39E+18,"Ottawa Public Health reported more than 200 new COVID-19 cases in Ottawa on Friday, a day after the city recorded its lowest new case count in weeks.​  https://t.co/FxmQeYjpQW",4/30/2021 23:00,Month_04 Week 4,4,ottawa public health report new covid case ottawa friday city record low new case count,ottawa public health report more new case ottawa friday day city record low new case count week
